date,area,marketId,location,sourceType,commodityKey,commodity,brand,productName,size,unit,price,priceType,stockStatus,confidence,observedAt,address,sourceUrl
2026-09-26,lamongan,54,Pasar Babat,pasar rakyat,beras-premium,Beras premium,Komoditas pasar,Beras premium,1 kg,kg,14900,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Babat, Kabupaten Lamongan",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=lamongankab&pasar=54
2026-09-26,lamongan,55,Pasar Blimbing,pasar rakyat,beras-premium,Beras premium,Komoditas pasar,Beras premium,1 kg,kg,14900,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Blimbing, Kabupaten Lamongan",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=lamongankab&pasar=55
2026-09-26,lamongan,121,Pasar Mantup,pasar rakyat,beras-premium,Beras premium,Komoditas pasar,Beras premium,1 kg,kg,14900,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Mantup, Kabupaten Lamongan",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=lamongankab&pasar=121
2026-09-26,lamongan,53,Pasar Sidoharjo,pasar rakyat,beras-premium,Beras premium,Komoditas pasar,Beras premium,1 kg,kg,14900,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Sidoharjo, Kabupaten Lamongan",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=lamongankab&pasar=53
2026-09-26,lamongan,54,Pasar Babat,pasar rakyat,cabai-besar,Cabai merah besar,Komoditas pasar,Cabai merah besar,1 kg,kg,25000,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Babat, Kabupaten Lamongan",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=lamongankab&pasar=54
2026-09-26,lamongan,55,Pasar Blimbing,pasar rakyat,cabai-besar,Cabai merah besar,Komoditas pasar,Cabai merah besar,1 kg,kg,25000,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Blimbing, Kabupaten Lamongan",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=lamongankab&pasar=55
2026-09-26,lamongan,121,Pasar Mantup,pasar rakyat,cabai-besar,Cabai merah besar,Komoditas pasar,Cabai merah besar,1 kg,kg,25000,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Mantup, Kabupaten Lamongan",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=lamongankab&pasar=121
2026-09-26,lamongan,53,Pasar Sidoharjo,pasar rakyat,cabai-besar,Cabai merah besar,Komoditas pasar,Cabai merah besar,1 kg,kg,25000,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Sidoharjo, Kabupaten Lamongan",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=lamongankab&pasar=53
2026-09-26,lamongan,54,Pasar Babat,pasar rakyat,cabai-keriting,Cabai merah keriting,Komoditas pasar,Cabai merah keriting,1 kg,kg,40000,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Babat, Kabupaten Lamongan",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=lamongankab&pasar=54
2026-09-26,lamongan,55,Pasar Blimbing,pasar rakyat,cabai-keriting,Cabai merah keriting,Komoditas pasar,Cabai merah keriting,1 kg,kg,40000,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Blimbing, Kabupaten Lamongan",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=lamongankab&pasar=55
